hash_dec	hash_le	db_entry	name	perf_le
1878950215	47 81 FE 6F	LAN_DEL_INT_93_PP1V6	Lancia Delta Integrale HF - Rally Pack	BD 3A 43 43
2468267707	BB C6 1E 93	LAN_DEL_INT_93_PP_RARE	Lancia Delta Integrale HF - Signature Edition	93 1E C6 BB
1699459161	59 B0 4B 65	LAN_DEL_INT_93_PP_STOCK_1	Lancia Delta Integrale HF	00 00 00 00
4292197620	F4 BC D5 FF	LAN_DEL_INT_93_PP_STOCK_2	Lancia Delta Integrale HF	00 00 00 00
1982403263	BF 12 29 76	LAN_DEL_INT_93_PP_STOCK_3	Lancia Delta Integrale HF	00 00 00 00
2354945898	6A 9F 5D 8C	LAN_DEL_INT_93_PP_STOCK_4	Lancia Delta Integrale HF	00 00 00 00
3370665311	5F 45 E8 C8	LAN_DEL_INT_93_PP_STOCK_5	Lancia Delta Integrale HF	00 00 00 00
3233698969	99 54 BE C0	LAN_DEL_INT_93_PP_STOCK_6	Lancia Delta Integrale HF	00 00 00 00
2233010987	2B 0B 19 85	MAS_GT_STR_12_NFS_E	Maserati GranTurismo MC Stradale - NFS Edition	85 19 0B 2B
1533225449	E9 29 63 5B	MAS_GT_STR_12_PP1V1	Maserati GranTurismo MC Stradale - Track Day Racer Pack	E8 B6 D7 E3
2447511445	95 0F E2 91	MAS_GT_STR_12_PP1V2	Maserati GranTurismo MC Stradale - Track Day Racer Pack	E8 B6 D7 E3
3065922865	31 45 BE B6	MAS_GT_STR_12_PP1V3	Maserati GranTurismo MC Stradale - Track Day Racer Pack	E8 B6 D7 E3
2492686056	E8 5E 93 94	MAS_GT_STR_12_PP1V4	Maserati GranTurismo MC Stradale - Track Day Racer Pack	E8 B6 D7 E3
575953995	4B 5C 54 22	MAS_GT_STR_12_PP1V5	Maserati GranTurismo MC Stradale - Track Day Racer Pack	E8 B6 D7 E3
871484959	1F CE F1 33	MAS_GT_STR_12_PP1V6	Maserati GranTurismo MC Stradale - Track Day Racer Pack	E8 B6 D7 E3
2870538066	52 EF 18 AB	MAS_GT_STR_12_PP_STOCK_1	Maserati GranTurismo MC Stradale	00 00 00 00
2188405272	18 6A 70 82	MAS_GT_STR_12_PP_STOCK_2	Maserati GranTurismo MC Stradale	00 00 00 00
104247225	B9 AF 36 06	MAS_GT_STR_12_PP_STOCK_3	Maserati GranTurismo MC Stradale	00 00 00 00
1072985508	A4 75 F4 3F	MAS_GT_STR_12_PP_STOCK_4	Maserati GranTurismo MC Stradale	00 00 00 00
2539769058	E2 CC 61 97	MAS_GT_STR_12_PP_STOCK_5	Maserati GranTurismo MC Stradale	00 00 00 00
2011923970	02 86 EB 77	MAS_GT_STR_12_PP_STOCK_6	Maserati GranTurismo MC Stradale	00 00 00 00
1157514873	79 46 FE 44	MAS_MC_STR_05_PP1V1	Maserati MC12 - Style Pack 1	30 45 67 90
3637542401	01 7E D0 D8	MAS_MC_STR_05_PP1V2	Maserati MC12 - Style Pack 1	30 45 67 90
944253473	21 2A 48 38	MAS_MC_STR_05_PP1V3	Maserati MC12 - Style Pack 1	30 45 67 90
1789313029	05 C0 A6 6A	MAS_MC_STR_05_PP1V4	Maserati MC12 - Style Pack 1	30 45 67 90
1817222736	50 9E 50 6C	MAS_MC_STR_05_PP1V5	Maserati MC12 - Style Pack 1	30 45 67 90
1242123714	C2 4D 09 4A	MAS_MC_STR_05_PP1V6	Maserati MC12 - Style Pack 1	30 45 67 90
877856617	69 07 53 34	MAS_MC_STR_05_PP_STOCK_1	Maserati MC12	00 00 00 00
3791013588	D4 46 F6 E1	MAZ_MX5_RHT_09_PP_RARE_1	Mazda MX-5 "T Prime"	31 1E 84 02
541096327	87 79 40 20	MIT_EVO_X_08_PP_RARE_1	Mitsubishi Lancer Evolution X "Busuto"	21 B5 F3 E2
987462888	E8 7C DB 3A	N/A	N/A	00 00 00 00
908415781	25 53 25 36	N/A	N/A	00 00 00 00
202674185	09 90 14 0C	N/A	N/A	00 00 00 00
1918122870	76 3B 54 72	N/A	N/A	00 00 00 00
2486710082	42 2F 38 94	N/A	N/A	00 00 00 00
1935808049	31 16 62 73	N/A	N/A	00 00 00 00
1301565875	B3 51 94 4D	N/A	N/A	00 00 00 00
700441438	5E E3 BF 29	NULL	Dodge Charger SRT-8 Police Interceptor	00 00 00 00
1327479671	77 BB 1F 4F	NULL	Ford Taurus Police Interceptor "DA-FUZZ"	00 00 00 00
1891289054	DE C7 BA 70	NULL	Lamborghini Miura SV "Rival"	11 34 B1 5B
2734400560	30 A4 FB A2	NULL	McLaren F1	00 00 00 00
3456340490	0A 92 03 CE	NULL	McLaren MP4-12C "MACCA"	6B 1A 56 C7
142171273	89 5C 79 08	NULL	McLaren MP4-12C	00 00 00 00
2514421767	07 08 DF 95	NULL	Nissan R32 GT-R "Eddie"	94 60 61 3A
11789831	07 E6 B3 00	NULL	Nissan GT-R V-Spec	00 00 00 00
579469758	BE 01 8A 22	NULL	Porsche 911 Carrera 4S	00 00 00 00
3618112453	C5 03 A8 D7	NULL	Porsche 911 GT2 "R W"	00 00 00 00
3094015493	05 EE 6A B8	NULL	Toyota Supra "Placeholder"	00 00 00 00
2472966696	28 7A 66 93	NULL	Dodge Charger SRT-8 Taxi	00 00 00 00
1624166953	29 D2 CE 60	NULL	Nissan 240ZG "Coeur de Valerie"	00 00 00 00
1876057227	8B 5C D2 6F	NULL	Porsche Cayenne Turbo	8B 5C D2 6F
4237819717	45 FF 97 FC	PAG_ZON_R_09_PP1V1	Pagani Zonda R - Aero Pack	B5 5D BA F4
3209761745	D1 13 51 BF	PAG_ZON_R_09_PP1V2	Pagani Zonda R - Aero Pack	B5 5D BA F4
3564356274	B2 C2 73 D4	PAG_ZON_R_09_PP1V3	Pagani Zonda R - Aero Pack	B5 5D BA F4
1538577389	ED D3 B4 5B	PAG_ZON_R_09_PP1V4	Pagani Zonda R - Aero Pack	B5 5D BA F4
1048902560	A0 FB 84 3E	PAG_ZON_R_09_PP1V5	Pagani Zonda R - Aero Pack	B5 5D BA F4
1477707390	7E 06 14 58	PAG_ZON_R_09_PP1V6	Pagani Zonda R - Aero Pack	B5 5D BA F4
1606620635	DB 15 C3 5F	PAG_ZON_R_09_PP_STOCK_1	Pagani Zonda R	00 00 00 00
1129839707	5B FC 57 43	PAG_ZON_R_09_PP_STOCK_2	Pagani Zonda R	00 00 00 00
4142030595	03 5F E2 F6	PAG_ZON_R_09_PP_STOCK_3	Pagani Zonda R	00 00 00 00
2209869415	67 EE B7 83	PAG_ZON_R_09_PP_STOCK_4	Pagani Zonda R	00 00 00 00
3410933518	0E B7 4E CB	PAG_ZON_R_09_PP_STOCK_5	Pagani Zonda R	00 00 00 00
2013786111	FF EF 07 78	PAG_ZON_R_09_PP_STOCK_6	Pagani Zonda R	00 00 00 00
646171499	6B CB 83 26	POR_993_GT2_96_PP_RARE_1	Porsche 911 GT2 "Strade"	EE B3 EF 5A
540039182	0E 58 30 20	SHE_MUS_SNK_12_PP_RARE_1	Ford Shelby GT500 Super Snake "1200 BHP"	0D 4E 59 F1
2956186169	39 D2 33 B0	TOY_SUP_STK_98_MARKETING_2	Toyota Supra "Marketing 2"	
1537749785	19 33 A8 5B	ast_one_77_10	Aston Martin One-77 	00 00 00 00
1844033689	99 B8 E9 6D	ast_one_77_10_ai_220	Aston Martin One-77 	D9 69 E7 B2
3418726804	94 A1 C5 CB	ast_one_77_10_ai_268	Aston Martin One-77 	19 33 A8 5B
613611658	8A F8 92 24	ast_one_77_10_pp1v1	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
813015225	B9 A0 75 30	ast_one_77_10_pp1v2	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
3419515662	0E AB D1 CB	ast_one_77_10_pp1v3	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
2461199550	BE EC B2 92	ast_one_77_10_pp1v4	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
1159870676	D4 38 22 45	ast_one_77_10_pp1v5	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
1797540164	44 49 24 6B	ast_one_77_10_pp1v6	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
2593782817	21 FC 99 9A	ast_one_77_10_pp1v7	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
3779064502	B6 F2 3F E1	ast_one_77_10_pp1v8	Aston Martin One-77 - Style Pack 1	4A E2 FD C7
2815320120	38 60 CE A7	ast_one_77_10_pp2v1	Aston Martin One-77 - Aero Pack	6C C3 20 51
1595550620	9C 2B 1A 5F	ast_one_77_10_pp2v2	Aston Martin One-77 - Aero Pack	6C C3 20 51
2739858695	07 ED 4E A3	ast_one_77_10_pp2v3	Aston Martin One-77 - Aero Pack	6C C3 20 51
3707827774	3E F6 00 DD	ast_one_77_10_pp2v4	Aston Martin One-77 - Aero Pack	6C C3 20 51
781260459	AB 16 91 2E	ast_one_77_10_pp2v5	Aston Martin One-77 - Aero Pack	6C C3 20 51
539917869	2D 7E 2E 20	ast_one_77_10_pp2v6	Aston Martin One-77 - Aero Pack	6C C3 20 51
3665518132	34 5E 7B DA	ast_one_77_10_pp2v7	Aston Martin One-77 - Aero Pack	6C C3 20 51
334451358	9E 52 EF 13	ast_one_77_10_pp2v8	Aston Martin One-77 - Aero Pack	6C C3 20 51
2723042599	27 55 4E A2	ast_one_77_10_pp_rival_1	Aston Martin One-77 - Signature Edition	2E F3 2B 56
2351754525	1D ED 2C 8C	ast_one_77_10_pp_stock_1	Aston Martin One-77 	00 00 00 00
1662806892	6C 6B 1C 63	ast_one_77_10_pp_stock_2	Aston Martin One-77 	00 00 00 00
228872290	62 50 A4 0D	ast_one_77_10_pp_stock_3	Aston Martin One-77 	00 00 00 00
1964104069	85 D9 11 75	ast_one_77_10_pp_stock_4	Aston Martin One-77 	00 00 00 00
2344597012	14 B6 BF 8B	ast_one_77_10_pp_stock_5	Aston Martin One-77	00 00 00 00
2132135922	F2 CF 15 7F	ast_one_77_10_pp_stock_6	Aston Martin One-77	00 00 00 00
1440933530	9A E6 E2 55	ast_one_77_10_pp_stock_7	Aston Martin One-77	00 00 00 00
549781442	C2 FF C4 20	ast_one_77_10_pp_stock_8	Aston Martin One-77 	00 00 00 00
3222817952	A0 4C 18 C0	ast_van_v12_10	Aston Martin V12 Vantage	00 00 00 00
2952613532	9C 4E FD AF	ast_van_v12_10_ai_184	Aston Martin V12 Vantage	A0 4C 18 C0
3992452817	D1 FE F7 ED	ast_van_v12_10_ai_203	Aston Martin V12 Vantage	DC 7C 8E 9C
757287967	1F 4C 23 2D	ast_van_v12_10_ai_240	Aston Martin V12 Vantage	DC 7C 8E 9C
1209748362	8A 4B 1B 48	ast_van_v12_10_pp1v1	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
156245113	79 1C 50 09	ast_van_v12_10_pp1v2	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
2961619387	BB B9 86 B0	ast_van_v12_10_pp1v3	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
615862543	0F 51 B5 24	ast_van_v12_10_pp1v4	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
3526445934	6E 4B 31 D2	ast_van_v12_10_pp1v5	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
1940697587	F3 B1 AC 73	ast_van_v12_10_pp1v6	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
1907609268	B4 CE B3 71	ast_van_v12_10_pp1v7	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
485309306	7A 3B ED 1C	ast_van_v12_10_pp1v8	Aston Martin V12 Vantage - Style Pack 1	E4 DD 67 30
2649851143	07 85 F1 9D	ast_van_v12_10_pp2v1	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
2740677938	32 6D 5B A3	ast_van_v12_10_pp2v2	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
3244052405	B5 4F 5C C1	ast_van_v12_10_pp2v3	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
324189125	C5 BB 52 13	ast_van_v12_10_pp2v4	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
3068513522	F2 CC E5 B6	ast_van_v12_10_pp2v5	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
2539124295	47 F6 57 97	ast_van_v12_10_pp2v6	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
1079128207	8F 30 52 40	ast_van_v12_10_pp2v7	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
3986919576	98 90 A3 ED	ast_van_v12_10_pp2v8	Aston Martin V12 Vantage - Racer Pack	DC 7C 8E 9C
2857975358	3E 3E 59 AA	ast_van_v12_10_pp_stock_1	Aston Martin V12 Vantage	00 00 00 00
1056218528	A0 9D F4 3E	ast_van_v12_10_pp_stock_2	Aston Martin V12 Vantage	00 00 00 00
809462544	10 6B 3F 30	ast_van_v12_10_pp_stock_3	Aston Martin V12 Vantage	00 00 00 00
3789039603	F3 27 D8 E1	ast_van_v12_10_pp_stock_4	Aston Martin V12 Vantage	00 00 00 00
748112314	BA 49 97 2C	ast_van_v12_10_pp_stock_5	Aston Martin V12 Vantage	00 00 00 00
4237537439	9F B0 93 FC	ast_van_v12_10_pp_stock_6	Aston Martin V12 Vantage	00 00 00 00
3644164539	BB 89 35 D9	ast_van_v12_10_pp_stock_7	Aston Martin V12 Vantage	00 00 00 00
3325394192	10 7D 35 C6	ast_van_v12_10_pp_stock_8	Aston Martin V12 Vantage	00 00 00 00
1326689714	B2 AD 13 4F	aud_r8_v10_10	Audi R8 V10 5.2 FSI quattro	00 00 00 00
2940168599	97 69 3F AF	aud_r8_v10_10_ai_209	Audi R8 V10 5.2 FSI quattro	B2 AD 13 4F
165937657	F9 01 E4 09	aud_r8_v10_10_ai_218	Audi R8 V10 5.2 FSI quattro	17 25 AC 10
1231946819	43 04 6E 49	aud_r8_v10_10_ai_242	Audi R8 V10 5.2 FSI quattro	CE D5 A7 B6
1506140079	AF DF C5 59	aud_r8_v10_10_ai_257	Audi R8 V10 5.2 FSI quattro	CE D5 A7 B6
3319259724	4C E2 D7 C5	aud_r8_v10_10_ai_300	Audi R8 V10 5.2 FSI quattro	B2 AD 13 4F
1884283732	54 E3 4F 70	aud_r8_v10_10_ai_304	Audi R8 V10 5.2 FSI quattro	17 25 AC 10
3506796393	69 77 05 D1	aud_r8_v10_10_ai_305	Audi R8 V10 5.2 FSI quattro	17 25 AC 10
3064452558	CE D5 A7 B6	aud_r8_v10_10_nfs_e	Audi R8 V10 5.2 FSI quattro - NFS Edition	CE D5 A7 B6
3153242597	E5 A9 F2 BB	aud_r8_v10_10_pp1v1	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
2307027108	A4 70 82 89	aud_r8_v10_10_pp1v2	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
499499300	24 C1 C5 1D	aud_r8_v10_10_pp1v3	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
2061057295	0F 3D D9 7A	aud_r8_v10_10_pp1v4	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
2164929752	D8 34 0A 81	aud_r8_v10_10_pp1v5	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
2351105315	23 05 23 8C	aud_r8_v10_10_pp1v6	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
3678179291	DB 8F 3C DB	aud_r8_v10_10_pp1v7	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
2968035414	56 A0 E8 B0	aud_r8_v10_10_pp1v8	Audi R8 V10 5.2 FSI quattro - Style Pack 1	42 63 AA 75
3941504193	C1 94 EE EA	aud_r8_v10_10_pp2v1	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
946310086	C6 8B 67 38	aud_r8_v10_10_pp2v2	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
3101273182	5E AC D9 B8	aud_r8_v10_10_pp2v3	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
1720961441	A1 C9 93 66	aud_r8_v10_10_pp2v4	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
3451502449	71 BF B9 CD	aud_r8_v10_10_pp2v5	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
3228403145	C9 85 6D C0	aud_r8_v10_10_pp2v6	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
1373600144	90 79 DF 51	aud_r8_v10_10_pp2v7	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
1570802703	0F 8C A0 5D	aud_r8_v10_10_pp2v8	Audi R8 V10 5.2 FSI quattro - Racer Pack	35 7C DD 49
1078212109	0D 36 44 40	aud_r8_v10_10_pp_run	Audi R8 V10 5.2 FSI quattro - NFS Edition	A7 67 99 8A
227798401	81 ED 93 0D	aud_r8_v10_10_pp_stock_1	Audi R8 V10 5.2 FSI quattro	00 00 00 00
1122426375	07 DE E6 42	aud_r8_v10_10_pp_stock_2	Audi R8 V10 5.2 FSI quattro	00 00 00 00
3104963178	6A FA 11 B9	aud_r8_v10_10_pp_stock_3	Audi R8 V10 5.2 FSI quattro	00 00 00 00
4282122155	AB FF 3B FF	aud_r8_v10_10_pp_stock_4	Audi R8 V10 5.2 FSI quattro	00 00 00 00
3564047321	D9 0B 6F D4	aud_r8_v10_10_pp_stock_5	Audi R8 V10 5.2 FSI quattro	00 00 00 00
3006082025	E9 2B 2D B3	aud_r8_v10_10_pp_stock_6	Audi R8 V10 5.2 FSI quattro	00 00 00 00
3886975273	29 89 AE E7	aud_r8_v10_10_pp_stock_7	Audi R8 V10 5.2 FSI quattro	00 00 00 00
1615791234	82 04 4F 60	aud_r8_v10_10_pp_stock_8	Audi R8 V10 5.2 FSI quattro	00 00 00 00
1147473296	90 0D 65 44	aud_r8_v10_10_presale_1	Audi R8 V10 5.2 FSI quattro - Signature Edition	51 48 56 99
1176546926	6E AE 20 46	aud_r8_v10_10_test_rainbow	Audi R8 V10 5.2 FSI quattro	00 00 00 00
228521963	EB F7 9E 0D	aud_rs4_stk_08	Audi RS4	00 00 00 00
1203948497	D1 CB C2 47	aud_rs4_stk_08_car_crusher	Audi RS4	EB F7 9E 0D
432192852	54 BD C2 19	aud_rs4_stk_08_nfs_e	Audi RS4 - NFS Edition	36 5A 1F E6
1222696140	CC DC E0 48	aud_rs4_stk_08_pp_stock_1	Audi RS4	00 00 00 00
346836159	BF 4C AC 14	aud_ur_qua_91	Audi Quattro 20V	00 00 00 00
3418979519	BF 7C C9 CB	aud_ur_qua_91_ai_073	Audi Quattro 20V	D9 C0 F1 87
2360253972	14 9E AE 8C	aud_ur_qua_91_ai_078	Audi Quattro 20V	DC 86 D9 3F
3953285671	27 5A A2 EB	aud_ur_qua_91_ai_161	Audi Quattro 20V	59 28 9D 07
1878717712	10 F5 FA 6F	aud_ur_qua_91_ai_162	Audi Quattro 20V	59 28 9D 07
3430276423	47 DD 75 CC	aud_ur_qua_91_pp1v1	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
525374202	FA 92 50 1F	aud_ur_qua_91_pp1v2	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
2421831877	C5 38 5A 90	aud_ur_qua_91_pp1v3	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
3639407362	02 F3 EC D8	aud_ur_qua_91_pp1v4	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
3439650783	DF E7 04 CD	aud_ur_qua_91_pp1v5	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
1437497350	06 78 AE 55	aud_ur_qua_91_pp1v6	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
2206765284	E4 90 88 83	aud_ur_qua_91_pp1v7	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
334309293	AD 27 ED 13	aud_ur_qua_91_pp1v8	Audi Quattro 20V - Style Pack 1	8D BF 34 E9
1746276484	84 10 16 68	aud_ur_qua_91_pp2v1	Audi Quattro 20V - Rally Pack	96 CD DF F2
1897472721	D1 22 19 71	aud_ur_qua_91_pp2v2	Audi Quattro 20V - Rally Pack	96 CD DF F2
1434221880	38 7D 7C 55	aud_ur_qua_91_pp2v3	Audi Quattro 20V - Rally Pack	96 CD DF F2
2930360105	29 BF A9 AE	aud_ur_qua_91_pp2v4	Audi Quattro 20V - Rally Pack	96 CD DF F2
3489959443	13 8E 04 D0	aud_ur_qua_91_pp2v5	Audi Quattro 20V - Rally Pack	96 CD DF F2
3919268643	23 4B 9B E9	aud_ur_qua_91_pp2v6	Audi Quattro 20V - Rally Pack	96 CD DF F2
